USER        PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root          1  0.0  0.4 159928  8252 ?        Ss   4月04   0:04 /sbin/init splash
colord     1608  0.0  0.6 319732 13748 ?        Ssl  4月04   0:00 /usr/lib/colord/colord
gdm        1634  0.0  0.3 199768  6252 tty1     Sl   4月04   0:00 /usr/lib/ibus/ibus-engine-simple
root       1639  0.0  0.4 262624  8180 ?        Sl   4月04   0:00 gdm-session-worker [pam/gdm-password]
xy         1642  0.0  0.3  77052  7744 ?        Ss   4月04   0:00 /lib/systemd/systemd --user
xy         1643  0.0  0.0 113948  1644 ?        S    4月04   0:00 (sd-pam)
xy         1656  0.0  0.3 283268  7216 ?        Sl   4月04   0:00 /usr/bin/gnome-keyring-daemon --daemonize --login
xy         1660  0.0  0.2 206892  5728 tty2     Ssl+ 4月04   0:00 /usr/lib/gdm3/gdm-x-session --run-script env GNOME_SHELL_SESSION_MODE=ubuntu gnome-session --session=ubuntu
xy         1662  0.0  4.7 477784 95428 tty2     Sl+  4月04   0:02 /usr/lib/xorg/Xorg vt2 -displayfd 3 -auth /run/user/1000/gdm/Xauthority -background none -noreset -keeptty -verbose 3
xy         1667  0.0  0.2  50736  4952 ?        Ss   4月04   0:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
xy         1671  0.0  0.6 628388 13792 tty2     Sl+  4月04   0:00 /usr/lib/gnome-session/gnome-session-binary --session=ubuntu
xy         1748  0.0  0.0  11304   316 ?        Ss   4月04   0:00 /usr/bin/ssh-agent /usr/bin/im-launch env GNOME_SHELL_SESSION_MODE=ubuntu gnome-session --session=ubuntu
xy         1750  0.0  0.3 349292  6064 ?        Ssl  4月04   0:00 /usr/lib/at-spi2-core/at-spi-bus-launcher
xy         1755  0.0  0.1  49924  3980 ?        S    4月04   0:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 3
xy         1758  0.0  0.3 220708  6684 ?        Sl   4月04   0:00 /usr/lib/at-spi2-core/at-spi2-registryd --use-gnome-session
xy         1775  0.2  7.8 2935976 156856 tty2   Sl+  4月04   0:23 /usr/bin/gnome-shell
xy         1781  0.0  0.3 286748  6612 ?        Ssl  4月04   0:00 /usr/lib/gvfs/gvfsd
xy         1786  0.0  0.2 416112  4816 ?        Sl   4月04   0:00 /usr/lib/gvfs/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
xy         1797  0.0  0.5 1166904 11952 ?       Sl   4月04   0:00 /usr/bin/pulseaudio --start --log-target=syslog
root       1807  0.0  0.0      0     0 ?        S<   4月04   0:00 [krfcommd]
xy         1809  0.0  0.3 356332  7428 tty2     Sl   4月04   0:00 ibus-daemon --xim --panel disable
xy         1813  0.0  0.3 275624  6220 tty2     Sl   4月04   0:00 /usr/lib/ibus/ibus-dconf
xy         1815  0.0  1.0 339356 20528 tty2     Sl   4月04   0:00 /usr/lib/ibus/ibus-x11 --kill-daemon
xy         1818  0.0  0.2 273568  5596 ?        Sl   4月04   0:00 /usr/lib/ibus/ibus-portal
xy         1825  0.0  0.2 266440  5352 ?        Ssl  4月04   0:00 /usr/libexec/xdg-permission-store
xy         1832  0.0  0.9 689904 19648 ?        Sl   4月04   0:00 /usr/lib/gnome-shell/gnome-shell-calendar-server
xy         1836  0.0  1.1 973928 23820 ?        Ssl  4月04   0:00 /usr/lib/evolution/evolution-source-registry
xy         1845  0.0  1.6 782644 32176 ?        Sl   4月04   0:00 /usr/lib/gnome-online-accounts/goa-daemon
xy         1854  0.0  0.2 187904  5192 ?        Sl   4月04   0:00 /usr/lib/dconf/dconf-service
xy         1857  0.0  0.3 301392  7616 ?        Ssl  4月04   0:00 /usr/lib/gvfs/gvfs-udisks2-volume-monitor
xy         1861  0.0  0.2 268820  5732 ?        Ssl  4月04   0:00 /usr/lib/gvfs/gvfs-goa-volume-monitor
xy         1870  0.0  0.3 371988  6820 ?        Sl   4月04   0:00 /usr/lib/gnome-online-accounts/goa-identity-service
xy         1872  0.0  0.3 283536  6488 ?        Ssl  4月04   0:00 /usr/lib/gvfs/gvfs-gphoto2-volume-monitor
